نوع المنافسة
منافسة عامة
شراء مباشر
منافسة محدودة
المزايدة العكسية الالكترونية
المنافسة على مرحلتين (المرحلة الاولى)
المنافسة على مرحلتين (المرحلة الثانية)
منافسة عامة (النظام القديم)
شراء مباشر (النظام القديم)
منافسة إتفاقية إطارية
مسابقة
مشاريع التحول الوطني
المشاركة فى الدخل
منافسات الشركات الكبرى
