الجهة الحكوميه
الديوان الملكي
المركز الوطني للوثائق والمحفوظات
الأمانة العامة لمجلس المحميات الملكية
مكتب شؤون المهمات والمبادرات
المجلس الاقتصادي الأعلى
مجلس الخدمة العسكرية
إدارة المتعاقدين
هيئة البيعة
المجلس الأعلى لشؤون البترول والمعادن
الشـؤون الخاصة لخادم الحرمين الشريفين
ديوان سمو ولي العهد
الشـؤون الخاصة لسمو ولي العهد
المراسم الملكية
رئاسة الحرس الملكي
مركز الأمن الوطني
الطيران الملكي السعودي
مركز دعم اتخاذ القرار
مجلس الشورى
رئاسة مجلس الوزراء
المجلس الأعلى لشئون البترول والمعادن
الأمانة العامة لمجلس الوزراء
اللجنة الوطنية لمكافحة المخدرات
هيئة الخبراء بمجلس الوزراء
ادارة التعاون الفنى
مكتبة الملك فهد الوطنية
المركز الوطني لقياس أداء الأجهزة العامة
مجلس الشؤون الاقتصادية والتنمية
مكتب التوطين وميزان المدفوعات
وزارة الحرس الوطني
الشؤون الصحیة بوزارة الحرس الوطني
جامعة الملك سعود بن عبد العزیز للعلوم الصحیة
وكالة الحرس الوطني القطاع الغربي
وكالة الحرس الوطني القطاع الشرقي
كلية الملك خالد العـسكرية
اللواء الخاص
ديوان المظالم
الديوان العام للمحاسبة
وزارة الخدمة المدنية-الديوان العام
معهد الادارة العامة
الإدارة العامة للشؤون الإدارية والمالية
إدارة والمنافسات
هيئة الرقابة والتحقيق
وزارة الرياضة
إصدار أوامر الاركاب
أكاديمية مهد الرياضية
الهيئة العامة  للموانىء
ميناء الملك فهد الصناعي بالجبيل
ميناء الملك فهد الصناعي بينبع
ميناء ينبع التجاري
ميناء الملك عبدالعزيز بالدمام
ميناء جدة الاسلامي
ميناء الجبيل التجاري
ميناء ضباء
ميناء جازان
ميناء رأس الخير
مدينة الملك عبدالعزيز للعلوم والتقنية
وحدة خدمات الإنترنت
تحول مدينة الملك عبدالعزيز للعلوم والتقنية
منافسات تحقيق الرؤية مدينة الملك عبدالعزيز للعلوم
